"Days","1_Mon","2_Mon","3_Mon","4_Mon","5_Mon","6_Mon","7_Mon","8_Mon","9_Mon","10_Mon","11_Mon","12_Mon"
89,-0.300761229267698,-26.2920962989111,10.1950467007115,-55.9901088769019,-18.5799291703035,32.2306520933812,-7.3744300863057,12.7384880662166,-0.118744325264494,29.8138753572402,4.92514266636534,4.24647224665969
90,-0.975792615282587,-26.1842290560152,7.47624128448932,-51.4818759351513,-17.3977000047921,37.473992364124,-6.80558109137525,12.8456750385554,-0.179790193446445,28.8733006298562,4.480042304704,4.38972883703146
91,-0.746525253009443,-26.8032322452668,5.47482546508246,-41.1576162482428,-18.1278400579034,37.4002421004915,-7.381103561456,13.7391672376232,0.375714593625273,26.8533640382811,4.49295910899583,4.43789274218632
92,-1.45491303036775,-27.0305460833262,0.893798559252628,-44.9840622379382,-16.0513254912111,40.0865044377345,-7.90084982229972,12.9843441925207,0.665157063733736,29.7523621547769,4.74924578075681,4.58234172167547
93,-2.36295574227865,-27.330076536499,0.0707973373635162,-30.2960443488266,-14.6029071708495,42.8018396109728,-7.8619059577323,14.6012683279791,1.11785248127517,30.0459976936169,4.69396395369565,3.16743176145833
94,-2.84248514016503,-26.9069116554462,2.41719036129094,-30.8808249820779,-12.1946216878229,45.7364607351521,-8.00187806610099,15.025289398986,1.31838588334725,30.4709016328971,4.56871726742213,2.37979220194607
95,-1.74835448347877,-26.6007732592292,1.26291793793712,-26.8560006461463,-13.2997104904288,46.6881462622647,-8.10056997176167,15.6076029557407,1.29216003896339,32.1420610288571,4.64349013442298,1.77375123706041
96,-1.4749805091445,-24.7393360332371,3.17571615483354,-20.1492819326555,-10.3759349196716,47.368201702723,-7.85337425023357,15.0766494999342,1.05727284294725,32.8142431994334,5.30045490125646,2.20541957027414
97,-0.886337836455335,-23.9201649272282,5.67256925264428,-20.1743203875705,-12.3094107621739,52.6213321761075,-5.91452207291271,15.8502235689431,0.713352754464137,32.9302408770798,5.58298149960136,2.93877132004722
98,-1.91950268517697,-25.4523581683987,5.47250258103099,-12.5781504590295,-12.1321231839216,51.7882931780886,-5.35210775009919,16.5355736979975,0.337352806559352,31.4156494470423,5.91347996014564,2.82166703889365
99,-2.35958926028343,-23.9652072447844,7.34516903096203,-15.1439737279395,-15.033799888149,48.1074196569392,-6.33844246853419,16.2714860823853,0.109772102848141,32.4629462137337,6.19480714621389,2.15881178450912
100,-1.39234586810133,-23.8059310221523,7.39592891549306,-8.65410321915934,-15.0134982679383,49.6868377114327,-5.11235351143633,15.6026543751656,0.333607586214639,32.9779694598429,5.99653104826263,2.39487023982145
101,-1.36460207069613,-23.7034862577673,7.94185154593908,-10.0512380459654,-16.5845818065033,46.8463619985171,-2.8776791586435,17.0616890025553,0.632726503918111,33.0745515793936,5.6003598201417,2.22719553537637
